Date,Open,High,Low,Close,Volume
2022-02-14,1.35696,1.35725,1.34955,1.35327,110929367187.5
2022-02-15,1.35326,1.35674,1.34869,1.35412,90965656250.0
2022-02-16,1.35411,1.36015,1.35392,1.35823,88826578125.0
2022-02-17,1.35821,1.36385,1.3556,1.36155,111193687500.0
2022-02-18,1.36154,1.36434,1.35736,1.35938,88195148437.5
2022-02-20,1.3597,1.36041,1.35883,1.35918,2547256591.7969
2022-02-21,1.35918,1.36392,1.35824,1.35956,92816507812.5
2022-02-22,1.35958,1.36053,1.35389,1.3589,105457226562.5
2022-02-23,1.35891,1.36212,1.3536,1.35456,84488976562.5
2022-02-24,1.35456,1.35474,1.32732,1.3372,200457187500.0
2022-02-25,1.3372,1.34391,1.33671,1.34196,133453359375.0
2022-02-27,1.33172,1.33752,1.33172,1.33727,16136929687.5
2022-02-28,1.33726,1.34321,1.3342,1.34227,142001156250.0
2022-03-01,1.34227,1.34381,1.33028,1.33363,113765039062.5
2022-03-02,1.33357,1.34083,1.3272,1.33971,139740265625.0
2022-03-03,1.33969,1.34185,1.33178,1.33512,111195437500.0
2022-03-04,1.33507,1.33528,1.32028,1.32398,131025070312.5
2022-03-06,1.32386,1.32577,1.32033,1.32121,7795009765.625
2022-03-07,1.32123,1.3229,1.31022,1.31142,186416953125.0
2022-03-08,1.31141,1.3145,1.30826,1.30993,178967781250.0
2022-03-09,1.30993,1.31905,1.3099,1.31856,119522960937.5
2022-03-10,1.31854,1.31952,1.30822,1.31034,135943890625.0
2022-03-11,1.31034,1.31255,1.30279,1.30415,130905250000.0
2022-03-13,1.30496,1.30533,1.30342,1.30502,5522277832.0313
2022-03-14,1.30503,1.30797,1.30015,1.30106,105008562500.0
2022-03-15,1.30106,1.30891,1.30008,1.30447,117417796875.0
2022-03-16,1.30447,1.3157,1.30363,1.31408,144172312500.0
2022-03-17,1.31407,1.32117,1.30881,1.31596,107991156250.0
2022-03-18,1.31596,1.31973,1.31112,1.31808,94136820312.5
2022-03-20,1.31895,1.31953,1.31595,1.31601,5859194335.9375
2022-03-21,1.316,1.32105,1.31276,1.31696,95343960937.5
2022-03-22,1.31697,1.32742,1.31208,1.32662,120070796875.0
2022-03-23,1.32662,1.32992,1.31755,1.3206,91290632812.5
2022-03-24,1.32061,1.32148,1.31575,1.31944,105057000000.0
2022-03-25,1.31944,1.32254,1.31598,1.31842,109965539062.5
2022-03-27,1.31918,1.31985,1.31692,1.31735,3634659912.1094
2022-03-28,1.31735,1.31772,1.30668,1.30999,118462812500.0
2022-03-29,1.30997,1.31602,1.30514,1.3093,147537468750.0
2022-03-30,1.30933,1.31829,1.30891,1.31381,137843953125.0
2022-03-31,1.3138,1.31759,1.31065,1.31461,153309609375.0
2022-04-01,1.31462,1.31476,1.30869,1.31167,98571906250.0
2022-04-03,1.31013,1.31278,1.3099,1.31049,2726763916.0156
2022-04-04,1.31048,1.31375,1.30936,1.31133,99747843750.0
2022-04-05,1.31133,1.31673,1.30674,1.30775,111674617187.5
2022-04-06,1.30776,1.31089,1.3046,1.30698,119629070312.5
2022-04-07,1.30699,1.31069,1.30524,1.30695,94496765625.0
2022-04-08,1.30696,1.30779,1.29824,1.30427,80400710937.5
2022-04-10,1.3045,1.30451,1.30305,1.30307,3467194580.0781
2022-04-11,1.30306,1.30574,1.29895,1.30234,102048671875.0
2022-04-12,1.30235,1.30544,1.29943,1.30024,113846867187.5
2022-04-13,1.30024,1.31242,1.29735,1.31194,94400179687.5
2022-04-14,1.31193,1.31478,1.30339,1.30685,134374156250.0
2022-04-15,1.30684,1.30775,1.30494,1.30676,200392140625.0
2022-04-17,1.30561,1.30653,1.30511,1.30574,3212143066.4063
2022-04-18,1.30572,1.30584,1.30017,1.30081,69678773437.5
2022-04-19,1.30083,1.30413,1.2981,1.30146,90605406250.0
2022-04-20,1.30147,1.30748,1.2997,1.30689,113323828125.0
2022-04-21,1.30687,1.30909,1.30227,1.30253,95541882812.5
2022-04-22,1.30251,1.30337,1.28232,1.28487,100399468750.0
2022-04-24,1.28476,1.28476,1.28268,1.2829,5652080078.125
2022-04-25,1.28286,1.28306,1.26977,1.27384,152417406250.0
2022-04-26,1.27381,1.27731,1.25609,1.25822,120694609375.0
2022-04-27,1.25822,1.26022,1.25029,1.25402,132435296875.0
2022-04-28,1.25401,1.25705,1.24115,1.24655,138270062500.0
2022-04-29,1.24657,1.26151,1.24657,1.25797,122844406250.0
2022-05-01,1.25927,1.25927,1.25702,1.2571,5500379882.8125
2022-05-02,1.2571,1.2598,1.24732,1.24998,107000093750.0
2022-05-03,1.24997,1.25679,1.24711,1.24993,118776539062.5
2022-05-04,1.24993,1.26385,1.24521,1.26171,147000312500.0
2022-05-05,1.26173,1.26333,1.23255,1.2363,167714625000.0
2022-05-06,1.23633,1.23806,1.22768,1.23505,186801843750.0
2022-05-08,1.23551,1.2356,1.23252,1.23262,5221290039.0625
2022-05-09,1.2326,1.24066,1.22612,1.23363,152641656250.0
2022-05-10,1.23365,1.23765,1.22918,1.23079,163362312500.0
2022-05-11,1.23079,1.24007,1.22326,1.22341,181509156250.0
2022-05-12,1.22341,1.22493,1.21655,1.22051,190776203125.0
2022-05-13,1.22049,1.22663,1.21557,1.22662,121194359375.0
2022-05-15,1.22451,1.22688,1.22451,1.22575,9786110351.5625
2022-05-16,1.22575,1.23297,1.22176,1.23264,129970179687.5
2022-05-17,1.23258,1.24999,1.23213,1.24876,147455828125.0
2022-05-18,1.24875,1.25014,1.23305,1.23448,119440203125.0
2022-05-19,1.2345,1.25252,1.23384,1.24637,166899296875.0
2022-05-20,1.24638,1.25006,1.24377,1.24929,129672171875.0
2022-05-22,1.24854,1.25107,1.24845,1.25041,5021930175.7813
2022-05-23,1.2504,1.26015,1.25005,1.25677,119451242187.5
2022-05-24,1.25678,1.25993,1.24717,1.25421,134624953125.0
2022-05-25,1.25422,1.25952,1.24816,1.25867,129173523437.5
2022-05-26,1.25861,1.26215,1.25524,1.26175,126691710937.5
2022-05-27,1.26176,1.26673,1.25864,1.26372,95361453125.0
2022-05-29,1.26437,1.26438,1.26249,1.26252,3642939941.4063
2022-05-30,1.26254,1.26604,1.2617,1.26463,111535851562.5
2022-05-31,1.26464,1.26493,1.25606,1.26102,129711726562.5
2022-06-01,1.26103,1.26173,1.24592,1.24842,117069781250.0
2022-06-02,1.24844,1.25871,1.24701,1.25791,88138898437.5
2022-06-03,1.2579,1.25904,1.24866,1.24924,87747937500.0
2022-06-05,1.25023,1.25032,1.24888,1.24908,4350870117.1875
2022-06-06,1.24909,1.2578,1.24774,1.2524,105321250000.0
2022-06-07,1.25239,1.25999,1.2431,1.25884,141008093750.0
2022-06-08,1.25884,1.259,1.25137,1.25411,112886390625.0
2022-06-09,1.25411,1.2559,1.24871,1.24932,124320414062.5
2022-06-10,1.24932,1.25184,1.23017,1.23223,133840953125.0
2022-06-12,1.2327,1.2327,1.22721,1.22774,9833419921.875
2022-06-13,1.22775,1.23011,1.2108,1.2143,175742234375.0
2022-06-14,1.2143,1.22086,1.19342,1.20117,220175796875.0
2022-06-15,1.20116,1.22056,1.199,1.21757,250499546875.0
2022-06-16,1.21757,1.24073,1.20416,1.23512,228478781250.0
2022-06-17,1.2351,1.23539,1.2173,1.22322,179494296875.0
2022-06-19,1.2232,1.22336,1.22097,1.22289,8094569824.2188
2022-06-20,1.22288,1.2281,1.22,1.22489,132886484375.0
2022-06-21,1.22486,1.2325,1.22454,1.22645,127386101562.5
2022-06-22,1.22647,1.23152,1.21618,1.2253,166980687500.0
2022-06-23,1.22524,1.22949,1.21707,1.22606,173523484375.0
2022-06-24,1.22604,1.23211,1.22416,1.22727,129777531250.0
2022-06-26,1.2288,1.22976,1.22718,1.22833,9254690429.6875
2022-06-27,1.22831,1.23328,1.22382,1.22669,137391656250.0
2022-06-28,1.22668,1.2292,1.21755,1.21886,156656312500.0
2022-06-29,1.21886,1.22139,1.21061,1.21298,166132390625.0
2022-06-30,1.21296,1.21889,1.20924,1.2161,169630640625.0
2022-07-01,1.21608,1.2162,1.19761,1.21044,159674703125.0
2022-07-03,1.21111,1.2124,1.20998,1.21006,6332293945.3125
2022-07-04,1.21006,1.21658,1.20856,1.21141,107860921875.0
2022-07-05,1.21142,1.21262,1.18992,1.1952,161258562500.0
2022-07-06,1.19516,1.199,1.18762,1.19229,188979015625.0
2022-07-07,1.19229,1.20349,1.19096,1.20295,151716046875.0
2022-07-08,1.20294,1.20567,1.192,1.20423,160355687500.0
2022-07-10,1.20267,1.2042,1.20153,1.2018,5241109863.2813
2022-07-11,1.20181,1.20207,1.18667,1.19,189803296875.0
2022-07-12,1.18997,1.19165,1.18075,1.18786,196249218750.0
2022-07-13,1.18781,1.19681,1.18278,1.18645,252742687500.0
2022-07-14,1.18645,1.18852,1.17606,1.18414,251786875000.0
2022-07-15,1.18414,1.18753,1.18051,1.18721,182316187500.0
2022-07-17,1.18774,1.18915,1.18634,1.18906,9919059570.3125
2022-07-18,1.18906,1.20339,1.18751,1.19496,169329562500.0
2022-07-19,1.19496,1.20461,1.19257,1.20029,182501640625.0
2022-07-20,1.20031,1.20384,1.1954,1.19685,186042031250.0
2022-07-21,1.19684,1.20087,1.18902,1.19958,216487343750.0
2022-07-22,1.19958,1.20646,1.19168,1.20105,200268421875.0
2022-07-24,1.20187,1.20187,1.19859,1.19862,5469215820.3125
2022-07-25,1.19864,1.2087,1.19611,1.20542,161176187500.0
2022-07-26,1.20545,1.20908,1.19643,1.20361,153701437500.0
2022-07-27,1.20361,1.21868,1.20212,1.21629,180029546875.0
2022-07-28,1.2163,1.2192,1.21037,1.21735,194756625000.0
2022-07-29,1.21736,1.22462,1.20637,1.21835,188672359375.0
2022-07-31,1.21806,1.21867,1.21579,1.21688,6807930175.7813
2022-08-01,1.21687,1.22939,1.21638,1.22579,160509812500.0
2022-08-02,1.2258,1.22799,1.21413,1.21443,170436234375.0
2022-08-03,1.21441,1.22083,1.21005,1.21386,150152578125.0
2022-08-04,1.21385,1.22188,1.20664,1.21593,158587109375.0
2022-08-05,1.21591,1.21698,1.2004,1.20812,149544843750.0
2022-08-07,1.20719,1.20757,1.20582,1.20618,5643600097.6563
2022-08-08,1.20618,1.21384,1.2048,1.20859,116264281250.0
2022-08-09,1.20861,1.2131,1.20636,1.20722,112693867187.5
2022-08-10,1.20722,1.22776,1.20657,1.22111,148487937500.0
2022-08-11,1.22108,1.22501,1.2183,1.21953,145111484375.0
2022-08-12,1.21954,1.22176,1.21,1.21356,114331367187.5
2022-08-14,1.21393,1.21449,1.2127,1.21277,8326610351.5625
2022-08-15,1.21278,1.21489,1.20509,1.20572,110828703125.0
2022-08-16,1.20572,1.21183,1.20084,1.20956,117884000000.0
2022-08-17,1.20955,1.21444,1.20286,1.20459,126601007812.5
2022-08-18,1.20458,1.20806,1.19232,1.19307,130438093750.0
2022-08-19,1.19308,1.19343,1.17927,1.18309,121544921875.0
2022-08-21,1.18346,1.18429,1.18118,1.18195,6354518554.6875
2022-08-22,1.18199,1.18374,1.17426,1.17665,120421453125.0
2022-08-23,1.17664,1.18785,1.17181,1.18307,132255703125.0
2022-08-24,1.18305,1.18362,1.17564,1.17912,120830109375.0
2022-08-25,1.17914,1.18648,1.17846,1.18237,123717406250.0
2022-08-26,1.18236,1.19014,1.1734,1.17498,171319765625.0
2022-08-28,1.17437,1.17437,1.16844,1.16896,11570534179.6875
2022-08-29,1.16898,1.17449,1.16489,1.17225,162822781250.0
2022-08-30,1.17221,1.17611,1.16217,1.16593,167062875000.0
2022-08-31,1.16591,1.16945,1.15944,1.15976,168096484375.0
2022-09-01,1.15974,1.16173,1.1499,1.15478,137700484375.0
2022-09-02,1.15476,1.15894,1.14966,1.15147,143805453125.0
2022-09-04,1.14816,1.14977,1.14676,1.14738,9923379882.8125
2022-09-05,1.14737,1.15677,1.14443,1.15651,115746406250.0
2022-09-06,1.15651,1.161,1.14945,1.15112,182176453125.0
2022-09-07,1.15112,1.15417,1.14057,1.15231,144262437500.0
2022-09-08,1.15231,1.15614,1.1461,1.1521,192669953125.0
2022-09-09,1.15209,1.16489,1.15163,1.15914,159957765625.0
2022-09-11,1.16505,1.16505,1.16031,1.16207,8801137695.3125
2022-09-12,1.16207,1.17111,1.16013,1.169,144563078125.0
2022-09-13,1.16899,1.17388,1.14825,1.15027,179065484375.0
2022-09-14,1.15028,1.15904,1.14807,1.15454,184170984375.0
2022-09-15,1.15455,1.15485,1.14519,1.14527,136642515625.0
2022-09-16,1.14525,1.14809,1.13512,1.14235,130137968750.0
2022-09-18,1.14241,1.14422,1.14132,1.14348,5846049804.6875
2022-09-19,1.14352,1.14464,1.13559,1.14456,95317929687.5
2022-09-20,1.14456,1.14616,1.1358,1.13814,141973906250.0
2022-09-21,1.13815,1.13856,1.12372,1.12579,170731203125.0
2022-09-22,1.12579,1.13654,1.12124,1.12634,214469203125.0
2022-09-23,1.12633,1.12745,1.08401,1.08506,191882312500.0
2022-09-25,1.08021,1.08484,1.07812,1.07944,18502257812.5
2022-09-26,1.07944,1.09324,1.03536,1.07679,349571000000.0
2022-09-27,1.0768,1.08392,1.06598,1.07276,224844671875.0
